"*Product Code","Channel","Assembled size","Material","Colour","Warranty"
"MMBRNC01","public","L 12,000 × W 42 × H 42 mm","Nylon, steel","Black","3 months"
"SEWMRO02","portal","L 325 × W 65 × H 250 mm","","",""
"SEWMRO01","portal","L 325 × W 65 × H 250 mm","Steel","Black","12 months"
"MEWMRO01","public","L 325 × W 65 × H 250 mm","Steel","Black","12 months"
"MEWMBER01","public","W 600 × H 155 × D 63 mm","Steel","Black","12 months"
"REWMBER01","portal","W 600 × H 155 × D 63 mm","Steel","Black","12 months"
"SEWMBER01","portal","W 600 × H 155 × D 63 mm","Steel","Black","12"
"SWWLCH02","portal","W 520 × H 1,060 × D 440 mm","Steel, Plastic","Black, White","6"
"RWWLCH01","portal","W 520 × H 1060 × D 440 mm","Steel, Plastic","Black, White","6 months"
"MWWLCH02","public","W 520 × H 1,060 × D 440 mm","Steel, Plastic","Black, White","6 months"
"AWWPCP01","public","W 205 × H 19 × D 205 mm","Polyurethane","Red","6 months"
"AWWPCP02","public","W 205 × H 19 × D 205 mm","Polyurethane","Red","6 months"
"MMPACE102","public","L 780 × W 620 × H 1,440 mm","Steel","Black","12 months"
"MWPA15001","public","L 450 × W 450 × H 474 mm","Virgin Rubber","Grey, Green, Yellow, Blue, Red","12 months"
"MWPA9001","public","L 450 × W 450 × H 284 mm","Virgin Rubber","Green, Yellow, Blue","12 months"
"MWPA10001","public","L 450 × W 450 × H 336 mm","Virgin Rubber","Grey, Green, Yellow, Blue","12 months"
"MWPA14001","public","L 450 × W 450 × H 460 mm","Virgin Rubber","Green, Yellow, Blue, Red","12 months"
"MWPA15002","public","L 450 × W 450 × H 474 mm","Virgin Rubber","Grey, Green, Yellow, Blue, Red","12 months"
"MWPA10002","public","L 450 × W 450 × H 336 mm","Virgin Rubber","Grey, Green, Yellow, Blue","12 months"
"MWPA14002","public","L 450 × W 450 × H 422 mm","Virgin Rubber","Green, Yellow, Blue, Red","12 months"
"MMPA25001","public","W 1,200 × H 850 × D 650 mm","Steel","Black","12 months"
"MMPA3601","public","W 630 × H 280 × D 210 mm","Steel","Black",""
"MMPA7201","public","W 630 × H 280 × D 210 mm","Steel","Black",""
"MMPA8001","public","W 1,050 × H 280 × D 210 mm","Steel","Black",""
"SBCTFS02","portal","L 420 × W 170 × H 590 mm","Steel","Black","12"
"MBCTFS02","public","L 420 × W 170 × H 590 mm","Steel","Black","12 months"
"ABCTFS02","public","L 420 × W 170 × H 590 mm","Steel","Black","12 months"
"MCTMSP02","public","L 1,797 × W 884 × H 1,525 mm","Steel","Black","5 Years Frame, 3 Years Moving Parts, 2 Years Console"
"MCTMSP01","public","L 1,797 × W 887 × H 1,525 mm","Steel","Black","5 Years Frame, 3 Years Moving Parts, 2 Years Console"
"MMPA5BL01","public","W 1,270 × H 254 × D 254 mm","Rubber","Black","6 months"
"MMGFACC01","public","W 850 × H 160 × D 50 mm","Aluminium, Steel","Black","12 months"
"RMGFACC01","portal","W 850 × H 160 × D 50 mm","Aluminium, Steel","Black","12 months"
"SMGFACC01","portal","W 850 × H 160 × D 50 mm","Aluminium, Steel","Black","12"
"RWWAACC02","portal","L 830 × W 185 × H 60 mm","Heavy duty nylon","Black","6 months"
"MWWAACC02","public","L 830 × W 185 × H 60 mm","Heavy duty nylon","Black","6 months"
"SWWAACC02","portal","L 830 × W 185 × H 60 mm","Heavy duty nylon","Black","6"
"SEWMACC03","portal","W 130 × H 1,700 × D 254 mm","Steel","Black","12"
"MEWMACC03","public","W 130 × H 1,700 × D 254 mm","Steel","Black","12 months"
"REWMACC01","portal","W 130 × H 1700 × D 254 mm","Steel","Black","12 months"
